web-scraper-order,web-scraper-start-url,liens,liens-href,marque_model,annee,kilometrage,boite de vitesse,carburant,prix,reference,adresse de vente,proprietaire
"1720698367-1","https://dakar-auto.com/senegal/voitures-4?&page=100","7","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/ford/fusion/annonce-136430","Ford Fusion 2015 Dakar","Année: 2015","107 km","Automatique","Essence","5 200 000 F CFA","Ref.: 136430","Sicap Foire","Mouhamed Mbaye"
"1720698370-2","https://dakar-auto.com/senegal/voitures-4?&page=100","5","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/toyota/rav-4/annonce-136434","Toyota Rav 4 2010 Dakar","Année: 2010","175000 km","Manuelle","Diesel","6 000 000 F CFA","Ref.: 136434","Dieuppeul Derklé","Rebondy Michel"
"1720698373-3","https://dakar-auto.com/senegal/voitures-4?&page=100","3","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/mitsubishi/outlander/annonce-136433","Mitsubishi Outlander 2020 Dakar","Année: 2020","12000 km","Automatique","Essence","12 000 000 F CFA","Ref.: 136433","Ouakam","SUNUYÃ‹F. ORG"
"1720698375-4","https://dakar-auto.com/senegal/voitures-4?&page=100","7","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/ford/edge/annonce-136432","Ford Edge 2018 Dakar","Année: 2018","46559 km","Automatique","Essence","18 500 000 F CFA","Ref.: 136432","Mermoz Sacré-Coeur","Dakar Auto Sales"
"1720698378-5","https://dakar-auto.com/senegal/voitures-4?&page=100","3","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/toyota/rav-4/annonce-135534","Toyota Rav 4 2008 Dakar","Année: 2008","14508 km","Automatique","Essence","4 300 000 F CFA","Ref.: 135534","Hann Maristes","Akhmadou bamba Diop"
"1720698381-6","https://dakar-auto.com/senegal/voitures-4?&page=100","5","https://dakar-auto.com/senegal/voitures/occasion/pick-ups/mitsubishi/l200/annonce-136439","Mitsubishi L200 2011 Dakar","Année: 2011","290000 km","Manuelle","Diesel","6 500 000 F CFA","Ref.: 136439","Dieuppeul Derklé","Aida DIOP"
"1720698390-7","https://dakar-auto.com/senegal/voitures-4?&page=100","6","https://dakar-auto.com/senegal/voitures/occasion/citadines/renault/sandero-stepway/annonce-136438","Renault Sandero-Stepway 2015 Dakar","Année: 2015","112000 km","Manuelle","Essence","4 300 000 F CFA","Ref.: 136438","Mamelles","Mory Samb"
"1720698394-8","https://dakar-auto.com/senegal/voitures-4?&page=100","6","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/chevrolet/cruze/annonce-136437","Chevrolet Cruze 2010 Dakar","Année: 2010","1 km","Automatique","Essence","2 600 000 F CFA","Ref.: 136437","Parcelles Assainies","Thiam Teranga"
"1720698397-9","https://dakar-auto.com/senegal/voitures-4?&page=100","3","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/chevrolet/spark/annonce-136436","Chevrolet Spark 2012 Dakar","Année: 2012","98000 km","Manuelle","Essence","2 450 000 F CFA","Ref.: 136436","Mermoz Sacré-Coeur","samba fall"
"1720698399-10","https://dakar-auto.com/senegal/voitures-4?&page=100","7","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/bmw/serie-5/annonce-136444","Bmw Serie 5 2013 Dakar","Année: 2013","114000 km","Automatique","Essence","10 000 000 F CFA","Ref.: 136444","Sud Foire","Alioune THIAM"
"1720698402-11","https://dakar-auto.com/senegal/voitures-4?&page=100","5","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/ford/focus/annonce-136440","Ford Focus 2016 Dakar","Année: 2016","73 km","Automatique","Essence","4 300 000 F CFA","Ref.: 136440","Point-E","Mouhamed Mbaye"
"1720698405-12","https://dakar-auto.com/senegal/voitures-4?&page=100","3","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/ford/fusion/annonce-136446","Ford Fusion 2013 Dakar","Année: 2013","250000 km","Automatique","Essence","4 400 000 F CFA","Ref.: 136446","Gibraltar","Pape Nguer"
"1720698413-13","https://dakar-auto.com/senegal/voitures-4?&page=100","8","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/toyota/rav4/annonce-136445","Toyota RAV4 2006 Dakar","Année: 2006","142000 km","Automatique","Essence","2 500 000 F CFA","Ref.: 136445","Rufisque","Badou Fall"
"1720698417-14","https://dakar-auto.com/senegal/voitures-4?&page=100","7","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/rover/ranch-evoque/annonce-136441","Rover ranch-evoque 2013 Dakar","Année: 2013","110 km","Automatique","Essence","12 500 000 F CFA","Ref.: 136441","Point-E","Mouhamed Mbaye"
"1720698420-15","https://dakar-auto.com/senegal/voitures-4?&page=100","8","https://dakar-auto.com/senegal/voitures/neuf/berlines-and-breaks/ford/fusion/annonce-136448","Ford Fusion 2017 Dakar","Année: 2017","123000 km","Automatique","Essence","9 300 000 F CFA","Ref.: 136448","Grand-Yoff","Smax Pro"
"1720698424-16","https://dakar-auto.com/senegal/voitures-4?&page=100","3","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/hyundai/sonata/annonce-136051","Hyundai Sonata 2011 Dakar","Année: 2011","94000 km","Automatique","Hybrides","3 900 000 F CFA","Ref.: 136051","Hann Maristes","AMADOU NDIAYE"
"1720698435-17","https://dakar-auto.com/senegal/voitures-4?&page=100","7","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/ford/focus/annonce-136449","Ford Focus 2014 Dakar","Année: 2014","140 km","Automatique","Essence","3 800 000 F CFA","Ref.: 136449","Point-E","Mouhamed Mbaye"
"1720698439-18","https://dakar-auto.com/senegal/voitures-4?&page=100","9","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/bmw/x5/annonce-136455","Bmw X5 2019 Dakar","Année: 2019","22000 km","Automatique","Essence","59 000 000 F CFA","Ref.: 136455","Mermoz Sacré-Coeur","DAKAR LUXURY CARS"
"1720698441-19","https://dakar-auto.com/senegal/voitures-4?&page=100","8","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/kia/k5/annonce-136454","Kia K5 2013 Dakar","Année: 2013","90000 km","Automatique","Essence","7 500 000 F CFA","Ref.: 136454","Tivaouane","Matar Ba1"
"1720698444-20","https://dakar-auto.com/senegal/voitures-4?&page=100","10","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/mercedes/ml-350/annonce-136453","Mercedes ML 350 2013 Dakar","Année: 2013","115000 km","Automatique","Essence","9 500 000 F CFA","Ref.: 136453","Gueule-Tapée, Fass, Colobane","Nokia automobile"
"1720698450-21","https://dakar-auto.com/senegal/voitures-4?&page=99","4","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/bmw/x5/annonce-136452","Bmw X5 2009 Dakar","Année: 2009","90000 km","Automatique","Essence","7 000 000 F CFA","Ref.: 136452","Fann","Mim ."
"1720698453-22","https://dakar-auto.com/senegal/voitures-4?&page=99","9","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/kia/sportage/annonce-136451","Kia Sportage 2014 Dakar","Année: 2014","80000 km","Automatique","Essence","8 000 000 F CFA","Ref.: 136451","Mamelles","Momar ."
"1720698456-23","https://dakar-auto.com/senegal/voitures-4?&page=99","7","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/citroen/c-elysee/annonce-136458","Citroen C-elysee 2019 Dakar","Année: 2019","42060 km","Manuelle","Essence","5 800 000 F CFA","Ref.: 136458","Saly Portudal","MARION Claude"
"1720698458-24","https://dakar-auto.com/senegal/voitures-4?&page=99","6","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/kia/optima/annonce-136456","Kia Optima 2017 Dakar","Année: 2017","115000 km","Automatique","Essence","7 850 000 F CFA","Ref.: 136456","Ouest Foire","Thierno sy"
"1720698461-25","https://dakar-auto.com/senegal/voitures-4?&page=99","6","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/volkswagen/jetta/annonce-135141","Volkswagen Jetta 2015 Dakar","Année: 2015","1 km","Automatique","Essence","4 600 000 F CFA","Ref.: 135141","Almadies","Ibrahima faye"
"1720698464-26","https://dakar-auto.com/senegal/voitures-4?&page=99","5","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/chevrolet/equinox/annonce-136459","Chevrolet Equinox 2010 Dakar","Année: 2010","116000 km","Automatique","Essence","4 400 000 F CFA","Ref.: 136459","VDN","Al Nastahine Mbacke"
"1720698467-27","https://dakar-auto.com/senegal/voitures-4?&page=99","7","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/hyundai/sonata/annonce-136463","Hyundai Sonata 2015 Dakar","Automatique","Année: 2015","Essence","","7 500 000 F CFA","Ref.: 136463","Grand-Dakar","AL-Affia Business"
"1720698470-28","https://dakar-auto.com/senegal/voitures-4?&page=99","5","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/ford/five-hundred/annonce-136461","Ford five-hundred 2007 Dakar","Année: 2007","130000 km","Automatique","Essence","1 800 000 F CFA","Ref.: 136461","VDN","Al Nastahine Mbacke"
"1720698473-29","https://dakar-auto.com/senegal/voitures-4?&page=99","5","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/ford/escape-se/annonce-136460","Ford ESCAPE-SE 2013 Dakar","Année: 2013","1 km","Automatique","Essence","5 300 000 F CFA","Ref.: 136460","VDN","Al Nastahine Mbacke"
"1720698476-30","https://dakar-auto.com/senegal/voitures-4?&page=99","7","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/hyundai/tucson/annonce-136395","Hyundai Tucson 2007 Dakar","Année: 2007","79553 km","Automatique","Essence","11 000 000 F CFA","Ref.: 136395","Ouest Foire","Zou Business Dakar access"
"1720698479-31","https://dakar-auto.com/senegal/voitures-4?&page=99","8","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/hyundai/santa-fe/annonce-136465","Hyundai Santa Fe 2013 Dakar","Année: 2013","84000 km","Automatique","Essence","7 000 000 F CFA","Ref.: 136465","Ngor","GAROTTA MARCELLO"
"1720698482-32","https://dakar-auto.com/senegal/voitures-4?&page=99","3","https://dakar-auto.com/senegal/voitures/occasion/citadines/suzuki/splash/annonce-136464","Suzuki Splash 2009 Dakar","Année: 2009","160 km","Manuelle","Essence","1 450 000 F CFA","Ref.: 136464","Saint-Louis","Momar Sow"
"1720698485-33","https://dakar-auto.com/senegal/voitures-4?&page=99","4","https://dakar-auto.com/senegal/voitures/occasion/pick-ups/nissan/hardbody/annonce-135443","Nissan HARDBODY 2010 Dakar","Année: 2010","135000 km","Manuelle","Diesel","4 800 000 F CFA","Ref.: 135443","Dieuppeul Derklé","Abdou fall"
"1720698488-34","https://dakar-auto.com/senegal/voitures-4?&page=99","3","https://dakar-auto.com/senegal/voitures/occasion/pick-ups/ford/f150/annonce-136468","Ford F150 2013 Dakar","Année: 2013","1 km","Automatique","Essence","11 000 000 F CFA","Ref.: 136468","Cité Keur gorgui","Senegal TCS ventes et locations"
"1720698490-35","https://dakar-auto.com/senegal/voitures-4?&page=99","7","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/bmw/x5/annonce-136467","Bmw X5 2019 Dakar","Année: 2019","50000 km","Automatique","Essence","55 000 000 F CFA","Ref.: 136467","Mermoz Sacré-Coeur","Dakar Auto Sales"
"1720698494-36","https://dakar-auto.com/senegal/voitures-4?&page=99","9","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/land-rover/range-rover-vogue/annonce-136450","Land Rover Range-Rover-Vogue 2015 Dakar","Année: 2015","89 km","Automatique","Diesel","33 000 000 F CFA","Ref.: 136450","Point-E","Mouhamed Mbaye"
"1720698497-37","https://dakar-auto.com/senegal/voitures-4?&page=99","5","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/nissan/quashqai/annonce-136476","Nissan QUASHQAI 2010 Dakar","Année: 2010","100000 km","Automatique","Essence","3 000 000 F CFA","Ref.: 136476","Liberté 6","Goumbala .."
"1720698500-38","https://dakar-auto.com/senegal/voitures-4?&page=99","6","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/mazda/cx-5/annonce-136474","Mazda Cx-5 2014 Dakar","Année: 2014","1 km","Automatique","Essence","8 200 000 F CFA","Ref.: 136474","Patte d'oie","Ibrahima faye"
"1720698503-39","https://dakar-auto.com/senegal/voitures-4?&page=99","9","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/gmc/sierra/annonce-136472","GMC Sierra 2014 Dakar","Année: 2014","77000 km","Automatique","Essence","28 500 000 F CFA","Ref.: 136472","Liberté 6","Alygueye ."
"1720698505-40","https://dakar-auto.com/senegal/voitures-4?&page=99","4","https://dakar-auto.com/senegal/voitures/occasion/coupes-and-cabriolets/audi/a5/annonce-136481","Audi A5 2010 Dakar","Année: 2010","127658 km","Automatique","Essence","3 500 000 F CFA","Ref.: 136481","Almadies","Moussa Diouf"
"1720698511-41","https://dakar-auto.com/senegal/voitures-4?&page=98","7","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/hyundai/tucson/annonce-136478","Hyundai Tucson 2012 Dakar","Année: 2012","100000 km","Automatique","Essence","4 000 000 F CFA","Ref.: 136478","Liberté 6","Goumbala .."
"1720698514-42","https://dakar-auto.com/senegal/voitures-4?&page=98","9","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/jeep/renegade/annonce-136477","Jeep Renegade 2020 Dakar","Année: 2020","3623 km","Automatique","Essence","16 000 000 F CFA","Ref.: 136477","Liberté 6","Goumbala .."
"1720698517-43","https://dakar-auto.com/senegal/voitures-4?&page=98","10","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/nissan/pathfinder/annonce-136482","Nissan Pathfinder 2022 Dakar","Année: 2022","50000 km","Automatique","Essence","37 000 000 F CFA","Ref.: 136482","Mermoz Sacré-Coeur","Dakar Auto Sales"
"1720698519-44","https://dakar-auto.com/senegal/voitures-4?&page=98","8","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/ford/escape-se/annonce-136485","Ford ESCAPE-SE 2013 Dakar","Année: 2013","88000 km","Automatique","Essence","4 800 000 F CFA","Ref.: 136485","Mermoz Sacré-Coeur","BARAKA AUTOMOBILE"
"1720698522-45","https://dakar-auto.com/senegal/voitures-4?&page=98","7","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/chevrolet/equinox/annonce-136484","Chevrolet Equinox 2011 Dakar","Année: 2011","165000 km","Automatique","Essence","4 500 000 F CFA","Ref.: 136484","Plateau","DURAND Grégory"
"1720698525-46","https://dakar-auto.com/senegal/voitures-4?&page=98","8","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/toyota/prado/annonce-136483","Toyota Prado 2021 Dakar","Année: 2021","1 km","Automatique","Essence","46 000 000 F CFA","Ref.: 136483","Grand-Dakar","AL-Affia Business"
"1720698528-47","https://dakar-auto.com/senegal/voitures-4?&page=98","8","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/hyundai/tucson/annonce-136486","Hyundai Tucson 2019 Dakar","Année: 2019","47776 km","Automatique","Essence","16 800 000 F CFA","Ref.: 136486","Golf","Lamine DIAGNE"
"1720698531-48","https://dakar-auto.com/senegal/voitures-4?&page=98","10","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/bmw/x3/annonce-136487","Bmw X3 2014 Dakar","Année: 2014","1 km","Automatique","Essence","12 000 000 F CFA","Ref.: 136487","Golf","Lamine DIAGNE"
"1720698535-49","https://dakar-auto.com/senegal/voitures-4?&page=98","9","https://dakar-auto.com/senegal/voitures/occasion/pick-ups/ford/transit/annonce-136492","Ford Transit 2012 Dakar","Année: 2012","200000 km","Manuelle","Diesel","16 000 000 F CFA","Ref.: 136492","Pikine Nord","Papa Dile Gueye"
"1720698539-50","https://dakar-auto.com/senegal/voitures-4?&page=98","4","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/mitsubishi/pajero/annonce-136493","Mitsubishi Pajero 2016 Dakar","Année: 2016","158000 km","Automatique","Diesel","9 000 000 F CFA","Ref.: 136493","VDN","Dembele Abou"
"1720698542-51","https://dakar-auto.com/senegal/voitures-4?&page=98","8","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/hyundai/sonata/annonce-136494","Hyundai Sonata 2013 Dakar","Année: 2013","117 km","Automatique","Essence","4 650 000 F CFA","Ref.: 136494","Point-E","Mouhamed Mbaye"
"1720698545-52","https://dakar-auto.com/senegal/voitures-4?&page=98","8","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/nissan/quashqai/annonce-136497","Nissan QUASHQAI 2014 Dakar","Année: 2014","1000 km","Manuelle","Diesel","6 800 000 F CFA","Ref.: 136497","Point-E","Mouhamed Mbaye"
"1720698548-53","https://dakar-auto.com/senegal/voitures-4?&page=98","8","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/ford/edge/annonce-136500","Ford Edge 2016 Dakar","Année: 2016","63000 km","Automatique","Essence","14 500 000 F CFA","Ref.: 136500","Mermoz Sacré-Coeur","Dakar Auto Sales"
"1720698551-54","https://dakar-auto.com/senegal/voitures-4?&page=98","6","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/land-rover/range-rover-vogue/annonce-136499","Land Rover Range-Rover-Vogue 2016 Dakar","Année: 2016","1 km","Automatique","Diesel","1 F CFA","Ref.: 136499","Liberté 6","Touba Taiba Automobile"
"1720698553-55","https://dakar-auto.com/senegal/voitures-4?&page=98","7","https://dakar-auto.com/senegal/voitures/occasion/pick-ups/ford/f150/annonce-136498","Ford F150 2015 Dakar","Année: 2015","1 km","Automatique","Essence","16 000 000 F CFA","Ref.: 136498","Liberté 6","Touba Taiba Automobile"
"1720698556-56","https://dakar-auto.com/senegal/voitures-4?&page=98","8","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/ford/focus/annonce-136501","Ford Focus 2013 Dakar","Année: 2013","106000 km","Automatique","Essence","4 200 000 F CFA","Ref.: 136501","VDN","Diagne Autos"
"1720698559-57","https://dakar-auto.com/senegal/voitures-4?&page=98","3","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/ford/edge/annonce-136506","Ford Edge 2010 Dakar","Année: 2010","139000 km","Automatique","Essence","4 000 000 F CFA","Ref.: 136506","Plateau","Espace _ama"
"1720698562-58","https://dakar-auto.com/senegal/voitures-4?&page=98","6","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/toyota/verso/annonce-136511","Toyota Verso 2012 Dakar","Année: 2012","149000 km","Manuelle","Diesel","3 350 000 F CFA","Ref.: 136511","Gueule-Tapée, Fass, Colobane","TAÏF multi services"
"1720698565-59","https://dakar-auto.com/senegal/voitures-4?&page=98","8","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/ford/fusion/annonce-136510","Ford Fusion 2014 Dakar","Année: 2014","112000 km","Automatique","Essence","5 500 000 F CFA","Ref.: 136510","Gueule-Tapée, Fass, Colobane","TAÏF multi services"
"1720698568-60","https://dakar-auto.com/senegal/voitures-4?&page=98","8","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/hyundai/santa-fe/annonce-136509","Hyundai Santa Fe 2015 Dakar","Année: 2015","91000 km","Automatique","Essence","11 000 000 F CFA","Ref.: 136509","Liberté 6","YOU CARS"
"1720698573-61","https://dakar-auto.com/senegal/voitures-4?&page=97","7","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/hyundai/tucson/annonce-136513","Hyundai Tucson 2014 Dakar","Année: 2014","1 km","Automatique","Essence","9 500 000 F CFA","Ref.: 136513","Liberté 6","YOU CARS"
"1720698576-62","https://dakar-auto.com/senegal/voitures-4?&page=97","7","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/bmw/serie-3/annonce-136512","Bmw Serie 3 2014 Dakar","Année: 2014","171372 km","Automatique","Essence","7 499 000 F CFA","Ref.: 136512","Mermoz Sacré-Coeur","CANADA AUTO PIÈCES"
"1720698579-63","https://dakar-auto.com/senegal/voitures-4?&page=97","6","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/renault/megane/annonce-136516","Renault Megane 2010 Dakar","Année: 2010","1 km","Manuelle","Diesel","3 000 000 F CFA","Ref.: 136516","Yoff","fama ."
"1720698582-64","https://dakar-auto.com/senegal/voitures-4?&page=97","8","https://dakar-auto.com/senegal/voitures/occasion/citadines/ford/focus/annonce-136515","Ford Focus 2014 Dakar","Automatique","Année: 2014","Essence","","3 900 000 F CFA","Ref.: 136515","Mermoz Sacré-Coeur","Vendeur ."
"1720698584-65","https://dakar-auto.com/senegal/voitures-4?&page=97","7","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/toyota/prado/annonce-136517","Toyota Prado 2014 Dakar","Année: 2014","80276 km","Automatique","Essence","26 000 000 F CFA","Ref.: 136517","Liberté 6","Touba Taiba Automobile"
"1720698587-66","https://dakar-auto.com/senegal/voitures-4?&page=97","3","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/citroen/c4/annonce-136520","Citroen C4 2015 Dakar","Année: 2015","99500 km","Manuelle","Diesel","6 100 000 F CFA","Ref.: 136520","Thiès","Sow aly"
"1720698590-67","https://dakar-auto.com/senegal/voitures-4?&page=97","10","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/hyundai/santa-fe/annonce-136519","Hyundai Santa Fe 2017 Dakar","Année: 2017","16561 km","Automatique","Essence","13 900 000 F CFA","Ref.: 136519","Sicap Liberté","Ousmane .."
"1720698593-68","https://dakar-auto.com/senegal/voitures-4?&page=97","5","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/chevrolet/equinox/annonce-136518","Chevrolet Equinox 2014 Dakar","Année: 2014","89000 km","Automatique","Essence","6 500 000 F CFA","Ref.: 136518","Mermoz Sacré-Coeur","Sen prix bas"
"1720698596-69","https://dakar-auto.com/senegal/voitures-4?&page=97","7","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/ford/fusion/annonce-136521","Ford Fusion 2017 Dakar","Année: 2017","50000 km","Automatique","Essence","8 000 000 F CFA","Ref.: 136521","Golf","Pa adama"
"1720698600-70","https://dakar-auto.com/senegal/voitures-4?&page=97","7","https://dakar-auto.com/senegal/voitures/occasion/camion-and-bus/renault/master-frigo/annonce-136522","Renault master-frigo 2015 Dakar","Année: 2015","250000 km","Manuelle","Diesel","11 000 000 F CFA","Ref.: 136522","Pikine Nord","Papa Dile Gueye"
"1720698604-71","https://dakar-auto.com/senegal/voitures-4?&page=97","6","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/toyota/auris/annonce-136524","Toyota Auris 2008 Dakar","Manuelle","Année: 2008","Essence","","3 200 000 F CFA","Ref.: 136524","Hlm","abdoulaye mbengue"
"1720698607-72","https://dakar-auto.com/senegal/voitures-4?&page=97","5","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/ford/focus/annonce-136523","Ford Focus 2014 Dakar","Année: 2014","50000 km","Automatique","Essence","4 400 000 F CFA","Ref.: 136523","Sicap Sacré Coeur","Dakar America sas"
"1720698610-73","https://dakar-auto.com/senegal/voitures-4?&page=97","3","https://dakar-auto.com/senegal/voitures/occasion/camion-and-bus/tata/bus/annonce-136526","TATA Bus 2014 Dakar","Année: 2014","1 km","Manuelle","Essence","7 000 000 F CFA","Ref.: 136526","Diamaguene Sicap Mbao","Mansour ."
"1720698613-74","https://dakar-auto.com/senegal/voitures-4?&page=97","7","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/hyundai/santa-fe/annonce-136525","Hyundai Santa Fe 2007 Dakar","Année: 2007","125000 km","Automatique","Essence","3 300 000 F CFA","Ref.: 136525","Liberté 4","SARR ."
"1720698616-75","https://dakar-auto.com/senegal/voitures-4?&page=97","8","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/volkswagen/jetta/annonce-136531","Volkswagen Jetta 2013 Dakar","Année: 2013","109765 km","Automatique","Essence","5 000 000 F CFA","Ref.: 136531","Sicap Foire","Babou CISSE"
"1720698619-76","https://dakar-auto.com/senegal/voitures-4?&page=97","8","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/audi/q5/annonce-136530","Audi Q5 2010 Dakar","Année: 2010","1 km","Automatique","Essence","7 000 000 F CFA","Ref.: 136530","Sicap Foire","Babou CISSE"
"1720698622-77","https://dakar-auto.com/senegal/voitures-4?&page=97","8","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/nissan/rogue/annonce-136529","Nissan ROGUE 2017 Dakar","Année: 2017","1 km","Automatique","Essence","10 000 000 F CFA","Ref.: 136529","Sicap Foire","Babou CISSE"
"1720698624-78","https://dakar-auto.com/senegal/voitures-4?&page=97","9","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/toyota/prado-txl-v8/annonce-136528","Toyota PRADO-TXL-V8 2015 Dakar","Année: 2015","82000 km","Automatique","Essence","36 000 000 F CFA","Ref.: 136528","Sicap Foire","Babou CISSE"
"1720698627-79","https://dakar-auto.com/senegal/voitures-4?&page=97","9","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/land-rover/range-rover-vogue/annonce-136537","Land Rover Range-Rover-Vogue 2015 Dakar","Année: 2015","75000 km","Automatique","Essence","41 000 000 F CFA","Ref.: 136537","Sicap Liberté","Hamath Cissé"
"1720698630-80","https://dakar-auto.com/senegal/voitures-4?&page=97","9","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/chevrolet/captiva/annonce-136535","Chevrolet Captiva 2013 Dakar","Année: 2013","101247 km","Automatique","Essence","5 500 000 F CFA","Ref.: 136535","Sébikotane","Vieux Babacacar"
"1720698636-81","https://dakar-auto.com/senegal/voitures-4?&page=96","3","https://dakar-auto.com/senegal/voitures/occasion/berlines-and-breaks/mazda/3/annonce-136539","Mazda 3 2008 Dakar","Année: 2008","100 km","Manuelle","Essence","2 600 000 F CFA","Ref.: 136539","Grand-Dakar","Fara Gueye"
"1720698638-82","https://dakar-auto.com/senegal/voitures-4?&page=96","6","https://dakar-auto.com/senegal/voitures/occasion/pick-ups/ford/f150/annonce-136541","Ford F150 2012 Dakar","Année: 2012","126000 km","Automatique","Essence","11 800 000 F CFA","Ref.: 136541","Médina","Ibrahima Thiam"
"1720698641-83","https://dakar-auto.com/senegal/voitures-4?&page=96","7","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/toyota/rav-4/annonce-136540","Toyota Rav 4 2013 Dakar","Année: 2013","90000 km","Automatique","Essence","10 000 000 F CFA","Ref.: 136540","Sicap Foire","Lamine Diagne"
"1720698644-84","https://dakar-auto.com/senegal/voitures-4?&page=96","8","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/hyundai/kona/annonce-136542","Hyundai Kona 2019 Dakar","Année: 2019","23000 km","Automatique","Essence","13 500 000 F CFA","Ref.: 136542","Mermoz Sacré-Coeur","Capital Auto Services"
"1720698647-85","https://dakar-auto.com/senegal/voitures-4?&page=96","10","https://dakar-auto.com/senegal/voitures/occasion/pick-ups/ford/edge/annonce-136545","Ford Edge 2016 Dakar","Année: 2016","93000 km","Automatique","Essence","11 900 000 F CFA","Ref.: 136545","Liberté 6","papesamba diop"
"1720698650-86","https://dakar-auto.com/senegal/voitures-4?&page=96","9","https://dakar-auto.com/senegal/voitures/occasion/4x4s-and-suv/ford/f150/annonce-136544","Ford F150 2015 Dakar","Année: 2015","1 km","Automatique","Essence","16 000 000 F CFA","Ref.: 136544","Liberté 6","Touba Taiba Automobile"
